ID,Amount
120,$1.20
344,$0.30
346,$1.60
372,$85.00
373,$8.40
333,$0.40
278,($0.20)
381,$4.20
156,$7.00
149,($1.10)
390,($3.60)
284,$1.40
413,($0.10)
98,($9.20)
300,($17.10)
421,$10.00
94,$9.00
197,$0.20
458,$0.20
465,$1.40
467,$220.00
470,$6.40
472,$6.20
276,$72.20
336,($5.00)
498,$0.60
499,$7.00
165,($5.00)
47,$0.70
521,$6.30
nio1124,($4.40)
147,$0.70
540,$8.70
548,($4.70)
551,$1.60
171,$19.70
557,$29.50
559,$70.30
567,($0.60)
575,($19.10)
580,$1.40
598,($3.90)
198,($4.70)
599,$10.50
602,$1.70
603,$5.60
605,$658.10
620,$0.70
621,$61.50
627,$0.20
630,($7.60)
635,$44.10
637,($0.60)
646,$65.90
650,($1.20)
672,($0.60)
674,($13.00)
677,$3.80
679,$1.40
680,($0.30)
684,$0.90
693,($0.90)
695,$8.40
697,($0.60)
705,($0.10)
709,$0.70
711,$96.20
714,$0.30
717,($4.70)
719,($4.40)
724,$0.40
731,($0.10)
740,$171.50
176,$5.20
750,$58.60
752,($0.10)
759,$12.00
767,$1.40
768,($0.10)
781,$1.40
784,$1.20
788,$0.80
793,$32.60
798,$173.70
803,$0.60
805,$18.60
811,$0.20
812,($4.30)
824,$57.40
825,$46.50
826,($19.30)
843,$0.40
267,$2.00
238,$0.30
858,$111.00
867,($0.60)
871,$125.20
874,$1.70
876,$0.80
891,$41.00
896,($0.05)
904,($3.70)
906,$5.60
907,$49.50
marinaresto,$109.00
912,($1.10)
915,$0.70
924,$1.30
927,$11.10
930,$0.70
939,$53.00
945,$0.70
947,$1.20
953,$28.80
965,$52.40
966,$50.90
967,$260.50
982,$20.40
985,($0.80)
1014,($1.00)
1021,$140.40
1022,($2.00)
1029,($0.80)
1032,$0.90
1042,$241.50
1051,($0.70)
1053,$135.90
1062,$135.60
1069,$0.30
1085,$44.30
1087,$2.80
1091,$6.30
1107,$0.70
221,$0.50
1118,$86.80
1120,$167.00
1121,$136.50
1128,$42.40
1131,($0.20)
117,$0.20
1141,($0.05)
1150,$41.00
1153,($0.20)
1173,($19.30)
1198,$10.20
1204,($0.30)
1223,($0.30)
1224,$0.10
1233,($0.30)
339,$0.45
1247,$181.00
1248,$0.50
129,$0.30
1259,$27.20
1260,$2.20
1271,($9.20)
1272,$64.40
1277,($0.60)
1278,$45.00
1288,$245.70
1299,$2.10
1304,$17.10
1309,$12.00
1319,$0.20
1357,($37.80)
1360,$27.00
1361,$29.70
1366,$7.60
1369,$22.90
1370,($19.30)
1371,($2.20)
1373,$0.60
1389,($1.90)
1390,$4.50
1391,$29.50
1416,$398.90
1420,$1.70
1422,$0.20
1423,$0.10
118,$0.10
1441,$28.10
1445,$6.00
1446,($8.00)
1450,($0.10)
1457,($12.40)
1460,$0.50
1461,$1.20
263,$0.80
1463,$0.80
1465,$0.60
1469,$18.50
1473,$0.40
1475,$26.30
1490,$0.10
1492,$25.60
1516,$46.50
1517,$13.50
1528,$56.20
1532,$46.60
1538,$23.00
1541,$0.70
1543,$0.10
1548,($0.80)
1551,$30.70
1564,$2.80
1567,$1.20
1570,$0.70
1576,$27.40
1586,$0.90
1590,($2.20)
1602,$19.90
1603,$0.80
1606,$2.00
1607,$0.60
1614,$1.60
1620,($39.00)
1622,$0.50
1629,$0.60
1644,$0.20
1648,($0.30)
1651,($20.00)
1656,$0.40
1659,$10.80
1661,$0.10
1669,$36.40
1670,$18.20
205,($0.80)
1675,$35.30
1694,$16.90
1696,$2.10
1700,($0.20)
1730,$1.10
1736,($0.10)
1745,($0.20)
1747,$1.00
1748,($20.00)
1755,$16.90
1756,$29.00
1762,($9.80)
1767,$0.90
1769,$10.40
1780,($0.60)
1785,($6.00)
1791,($0.90)
1798,$1.40
1801,$2.10
1810,$55.00
1815,($0.80)
1816,$9.80
1827,$0.50
1829,$1.00
1841,$30.20
1846,$4.90
1860,$1.70
1867,$2.10
1885,$0.30
1910,$1.40
1917,$24.00
1957,$0.60
1963,($20.00)
177,$89.20
338,$87.80
334,$87.50
1982,$90.40
1999,$1.60
2002,$0.20
2011,($0.60)
2015,$2.10
2021,$24.10
2026,($4.80)
2028,$58.50
2033,($3.40)
2039,($13.30)
2042,$257.40
2048,$0.80
2056,$0.20
2068,$1.00
2071,($2.10)
2075,$8.30
2080,($0.05)
2082,$14.00
2089,$15.50
2098,$4.40
2121,$0.10
2126,($0.40)
2132,$1.20
2141,$2.40
2142,($0.90)
2147,($0.20)
